company,role,job_url,location,remote_status,date_posted,salary,fit_score,status,application_datetime,resume_version,reason_skipped_blocked,notes,confirmation_number
Arize AI,"AI Product Engineer, New Grad",https://job-boards.greenhouse.io/arizeai/jobs/5396470004,Remote-first (NYC + SF Bay offices),Remote-first per search snippet (UNVERIFIED on page),UNVERIFIED,"$100,000-$135,000 + equity (per snippet)",91,Needs Verification,,v1-eval,,HIGHEST FIT. Arize builds LLM observability/evaluation tooling (Phoenix). Ali's two Mercor eval roles + rubric/benchmark design map directly onto the product domain. 'New Grad' title needs grad-window check against May 2027.,
Scale AI,Software Engineer - New Grad,https://job-boards.greenhouse.io/scaleai/jobs/4730836005,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,85,Needs Verification,,v1-eval,,Search snippet states requirement: 'graduation date in Fall 2026 or Spring 2027'. May 2027 = Spring 2027 -> ELIGIBLE. Scale's core business is exactly the eval/post-training data work Ali does at Mercor.,
OpenAI,"Residency (6-month, pathway to full-time)",https://openai.com/residency/,UNVERIFIED,UNVERIFIED,"Program page, not a dated req",UNVERIFIED,90,Needs Verification,,v1-eval,,Explicitly targets people from math/physics adjacent backgrounds moving into AI. Ali's adversarial-math-for-LLM-reasoning work at Mercor is an unusually on-point match. Also check OpenAI 'Emerging Talent' (0-3 yrs experience) per snippet.,
Cohere,"Applied AI Engineer, Agents & Automations",https://jobs.ashbyhq.com/cohere/3fe03041-347a-479f-8361-6b1f5f81338e,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,88,Needs Verification,,v1-agents,,"Agents + automations is Ali's Mycelic/Fujitsu-agent lane. Likely asks for more YoE than resume shows - per instructions, do not auto-reject; lead with the provisional patent and the Fujitsu agent that cut troubleshooting 48h->20min.",
Neuromorphic Labs,Founding Forward Deployed AI Engineer,https://jobs.ashbyhq.com/Neuromorphic-Labs/78dd02e0-c0bf-4c4a-8d48-f5bab85c290c,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,76,Needs Verification,,v1-agents,,"Seed-stage; deploying platform into production AI environments. Fujitsu enablement work (live demos, prompt libraries, driving adoption across teams) is genuine forward-deployed evidence.",
Clera,Founding AI Engineer,https://jobs.ashbyhq.com/clera/3a7488e5-b7df-45fd-acc9-a4796dcbe7a8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,72,Needs Verification,,v1-agents,,"Early-stage consumer social AI. Founding role = high upside, low comp certainty. Weaker domain overlap than Arize/Scale but strong build-from-scratch signal in Mycelic.",
Twilio,Machine Learning Engineer,https://job-boards.greenhouse.io/twilio/jobs/7702644,Remote US,"Remote, NOT eligible in CA, CT, NJ, NY, PA, WA (per snippet). TX is eligible.",UNVERIFIED,UNVERIFIED,69,Needs Verification,,v1-swe,,Remote-US and Katy TX is in an eligible state. Likely a mid-level req; apply only if the YoE ask is within reach.,
Workiva,Summer 2027 Intern - Machine Learning Engineering,https://workiva.wd503.myworkdayjobs.com/careers/job/USA---Remote/Summer-2027-Intern---Machine-Learning-Engineering_R12194-1,USA - Remote,Remote US (in the job URL path),UNVERIFIED (a snippet claimed 'within the last week' - unconfirmed),UNVERIFIED,67,Needs Input,,v1-eval,Grad-window eligibility unknown; Workday requires account creation + email verification,"Genuinely remote-US ML internship. MUST check grad-date window: many Summer 2027 programs require graduation Dec 2027 or later, which would exclude a May 2027 grad.",
Experian,ML Engineer Summer Intern (Remote & Paid),https://jobs.experian.com/job/ml-engineer-summer-intern-remote-and-paid-in-united-states-jid-3340,United States,Remote (stated in title),UNVERIFIED,Paid (amount UNVERIFIED),67,Needs Input,,v1-eval,Grad-window eligibility unknown,Works under VP of Innovation Engineering on ML + generative AI. Remote and explicitly paid. Same grad-window caveat as Workiva.,
HOPPR,Machine Learning Engineer,https://job-boards.greenhouse.io/hoppr/jobs/4830483008,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,65,Needs Verification,,v1-swe,,Medical-imaging foundation models. Domain overlap is thin; no medical ML on resume. Borderline - verify seniority before spending an application.,
